Etime	Time	CO2 (µmol/mol)
0	2021-07-16 11:30:59	-0.99
1	2021-07-16 11:31:00	-1.05
2	2021-07-16 11:31:01	-1
3	2021-07-16 11:31:02	-0.97
4	2021-07-16 11:31:03	-0.9
5	2021-07-16 11:31:04	-0.87
6	2021-07-16 11:31:05	-0.92
7	2021-07-16 11:31:06	-0.91
8	2021-07-16 11:31:07	-0.92
9	2021-07-16 11:31:08	-0.96
10	2021-07-16 11:31:09	-0.98
11	2021-07-16 11:31:10	-0.94
12	2021-07-16 11:31:11	-0.97
13	2021-07-16 11:31:12	-0.92
14	2021-07-16 11:31:13	-1.01
15	2021-07-16 11:31:14	-0.95
16	2021-07-16 11:31:15	-0.93
17	2021-07-16 11:31:16	-1.01
18	2021-07-16 11:31:17	-0.98
19	2021-07-16 11:31:18	-0.99
20	2021-07-16 11:31:19	-0.99
21	2021-07-16 11:31:20	-0.93
22	2021-07-16 11:31:21	-0.97
23	2021-07-16 11:31:22	-0.98
24	2021-07-16 11:31:23	-1.01
25	2021-07-16 11:31:25	-0.94
26	2021-07-16 11:31:26	-0.92
27	2021-07-16 11:31:27	-0.92
28	2021-07-16 11:31:28	-1.01
29	2021-07-16 11:31:29	-1.03
30	2021-07-16 11:31:30	-1.02
31	2021-07-16 11:31:31	-1
32	2021-07-16 11:31:32	-1.04
33	2021-07-16 11:31:33	-0.98
34	2021-07-16 11:31:34	-1.08
35	2021-07-16 11:31:35	-1.14
36	2021-07-16 11:31:36	-1.04
37	2021-07-16 11:31:37	-1.1
38	2021-07-16 11:31:38	-1.1
39	2021-07-16 11:31:39	-0.85
40	2021-07-16 11:31:40	-0.84
41	2021-07-16 11:31:41	-0.93
42	2021-07-16 11:31:42	-0.85
43	2021-07-16 11:31:43	-0.97
--------------------------------------------------------------
300curve
--------------------------------------------------------------
44	2021-07-16 11:31:44	-1.16
45	2021-07-16 11:31:45	-1.02
46	2021-07-16 11:31:46	-1.14
47	2021-07-16 11:31:47	-1.03
48	2021-07-16 11:31:48	-0.88
--------------------------------------------------------------
300curve
--------------------------------------------------------------
49	2021-07-16 11:31:49	-0.87
50	2021-07-16 11:31:50	-0.93
51	2021-07-16 11:31:51	-0.93
52	2021-07-16 11:31:52	-0.95
53	2021-07-16 11:31:53	-1.04
54	2021-07-16 11:31:54	-0.99
55	2021-07-16 11:31:55	-1.01
56	2021-07-16 11:31:56	-0.99
57	2021-07-16 11:31:57	-0.95
58	2021-07-16 11:31:58	-0.99
59	2021-07-16 11:31:59	-0.98
60	2021-07-16 11:32:00	-1.02
61	2021-07-16 11:32:01	-1.02
62	2021-07-16 11:32:02	-1.06
63	2021-07-16 11:32:03	-0.96
64	2021-07-16 11:32:04	-0.9
65	2021-07-16 11:32:05	-0.89
66	2021-07-16 11:32:06	-0.78
67	2021-07-16 11:32:07	-1.3
68	2021-07-16 11:32:08	5.01
69	2021-07-16 11:32:09	10.46
70	2021-07-16 11:32:10	10.45
71	2021-07-16 11:32:11	10.51
72	2021-07-16 11:32:12	4.04
73	2021-07-16 11:32:13	-1.44
74	2021-07-16 11:32:14	-1.48
75	2021-07-16 11:32:15	-1.1
76	2021-07-16 11:32:16	-0.89
77	2021-07-16 11:32:17	-0.89
78	2021-07-16 11:32:18	-0.85
79	2021-07-16 11:32:19	-0.86
80	2021-07-16 11:32:20	-0.86
81	2021-07-16 11:32:21	-0.88
82	2021-07-16 11:32:22	-0.88
83	2021-07-16 11:32:23	-0.83
84	2021-07-16 11:32:24	-0.92
85	2021-07-16 11:32:25	-0.84
86	2021-07-16 11:32:26	-0.93
87	2021-07-16 11:32:27	-0.95
88	2021-07-16 11:32:28	-0.9
89	2021-07-16 11:32:29	-1
90	2021-07-16 11:32:30	-0.97
91	2021-07-16 11:32:31	-1
92	2021-07-16 11:32:32	-0.99
93	2021-07-16 11:32:33	-1
94	2021-07-16 11:32:34	-1.03
95	2021-07-16 11:32:35	-0.94
96	2021-07-16 11:32:36	-0.95
97	2021-07-16 11:32:37	-0.9
98	2021-07-16 11:32:38	-0.87
99	2021-07-16 11:32:39	-0.91
100	2021-07-16 11:32:40	-0.96
101	2021-07-16 11:32:41	-0.96
102	2021-07-16 11:32:42	-0.94
103	2021-07-16 11:32:43	-0.86
104	2021-07-16 11:32:44	-0.87
105	2021-07-16 11:32:45	-0.83
106	2021-07-16 11:32:46	-0.97
107	2021-07-16 11:32:47	-1
108	2021-07-16 11:32:48	-0.91
109	2021-07-16 11:32:49	-0.97
110	2021-07-16 11:32:50	-0.76
111	2021-07-16 11:32:51	-1.08
112	2021-07-16 11:32:52	4.15
113	2021-07-16 11:32:53	9.02
114	2021-07-16 11:32:54	8.93
115	2021-07-16 11:32:55	8.87
116	2021-07-16 11:32:56	3.47
117	2021-07-16 11:32:57	-1.45
118	2021-07-16 11:32:58	-1.46
119	2021-07-16 11:32:59	-1.04
120	2021-07-16 11:33:00	-0.96
121	2021-07-16 11:33:01	-0.85
122	2021-07-16 11:33:02	-0.91
123	2021-07-16 11:33:03	-0.97
124	2021-07-16 11:33:04	-0.96
125	2021-07-16 11:33:05	-1.07
126	2021-07-16 11:33:06	-1.02
127	2021-07-16 11:33:07	-0.94
128	2021-07-16 11:33:08	-0.9
129	2021-07-16 11:33:09	-0.87
130	2021-07-16 11:33:10	-0.92
131	2021-07-16 11:33:11	-1
132	2021-07-16 11:33:12	-1.04
133	2021-07-16 11:33:13	-0.94
134	2021-07-16 11:33:14	-0.96
135	2021-07-16 11:33:15	-0.9
136	2021-07-16 11:33:16	-0.94
137	2021-07-16 11:33:17	-1.03
138	2021-07-16 11:33:18	-1.05
139	2021-07-16 11:33:19	0.21
140	2021-07-16 11:33:20	7.04
141	2021-07-16 11:33:21	8.69
142	2021-07-16 11:33:22	8.46
143	2021-07-16 11:33:23	6.99
144	2021-07-16 11:33:24	0.14
145	2021-07-16 11:33:25	-1.49
146	2021-07-16 11:33:26	-1.32
147	2021-07-16 11:33:27	-1.11
148	2021-07-16 11:33:28	-1
149	2021-07-16 11:33:29	-1.06
150	2021-07-16 11:33:30	-1.07
151	2021-07-16 11:33:31	-1.07
152	2021-07-16 11:33:32	-0.97
153	2021-07-16 11:33:33	-0.89
154	2021-07-16 11:33:34	-0.94
155	2021-07-16 11:33:35	-0.88
156	2021-07-16 11:33:36	-0.91
157	2021-07-16 11:33:37	-0.89
158	2021-07-16 11:33:38	-0.91
159	2021-07-16 11:33:39	-0.81
160	2021-07-16 11:33:40	-0.85
